Accepted_name,Family,Author,SuccessionalStatus,DispersalMode,Zoochorous.Tadwalkar_etal.,Habit,Comment_successional.status
Acrocarpus_fraxinifolius,Fabaceae,Wight & Arn.,E,Wind,,Tree,Emergent trees in the openings of evergreen forests
Actinodaphne_bourdillonii,Lauraceae,Gamble,E,Bird,,Tree,
Actinodaphne_tadulingamii,Lauraceae,Gamble,E,Bird,,Tree,
Actinodaphne_bourdillonii,Lauraceae,Gamble,E,Bird,,Tree,
Aglaia_perviridis,Meliaceae,Hiern,E,Mammal_bird,,Tree,Subcanopy trees in wet evergreen forests 
Aglaia_elaeagnoidea,Meliaceae,(A.Juss.) Benth.,O,Mammal_bird,,Tree,
Aglaia_elaeagnoidea,Meliaceae,(A.Juss.) Benth.,O,Mammal_bird,,Tree,
Aglaia_elaeagnoidea,Meliaceae,(A.Juss.) Benth.,O,Mammal_bird,,Tree,
Aglaia_simplicifolia,Meliaceae,(Bedd.) Harms,O,Bird,,Tree,
Aglaia_elaeagnoidea,Meliaceae,(A.Juss.) Benth.,O,Mammal_bird,,Tree,
Aglaia_simplicifolia,Meliaceae,(Bedd.) Harms,O,Bird,,Tree,
Aglaia_tomentosa,Meliaceae,Teijsm. & Binn.,O,Bird,,Tree,
Agrostistachys_borneensis,Euphorbiaceae,Becc.,O,Gravity,,Tree,
Agrostistachys_indica,Euphorbiaceae,Dalzell,O,Bird,,Tree,
Albizia_chinensis,Fabaceae,(Osbeck) Merr.,Unknown,Wind,,Tree,
Alstonia_scholaris,Apocynaceae,(L.) R.Br.,E,Wind,,Tree,
Antidesma_montanum,Phyllanthaceae,Blume,O,Mammal_bird,,Tree,
Aphanamixis_polystachya,Meliaceae,(Wall.) R.Parker,O,Bird,,Tree,
Apodytes_dimidiata,Metteniusaceae,E.Mey. ex Arn.,E,Unknown,,Tree,Occasional canopy trees in evergreen forests
Archidendron_bigeminum,Fabaceae,(L.) I.C.Nielsen,E,Gravity,,Tree,Trees along the margin of the evergreen and semi-evergreen forests
Archidendron_bigeminum,Fabaceae,(L.) I.C.Nielsen,E,Gravity,,Tree,
Artocarpus_heterophyllus,Moraceae,Lam.,O,Mammal,,Tree,
Atalantia_racemosa,Rutaceae,Wight & Arn.,E,Mammal,,Shrub,
Beilschmiedia_wightii,Lauraceae,(Nees) Benth. ex Hook.fil.,O,Bird,,Tree,
Bischofia_javanica,Phyllanthaceae,Blume,O,Mammal_bird,,Tree,Canopy trees in evergreen to semi-evergreen forests particularly along streams up to 1300 m.
Blachia_umbellata,Euphorbiaceae,(Willd.) Baill.,O,Gravity,,Tree,Understorey trees in evergreen forests up to 1100 m.
Casearia_graveolens,Salicaceae,Dalzell,O,Bird,,Tree,
Casearia_graveolens,Salicaceae,Dalzell,O,Bird,,Tree,
Casearia_wynadensis,Salicaceae,Bedd.,O,Bird,,Tree,
Calamus_species,Arecaceae,L.,Unknown,Unknown,,Climber,
Callicarpa_tomentosa,Lamiaceae,(L.) L.,E,Bird,Z,Tree,Undergrowth in open disturbed evergreen to semi-evergreen forests 
Calophyllum_polyanthum,Calophyllaceae,Wall. ex Choisy,O,Mammal,,Tree,
Camellia_sinensis,Theaceae,(L.) Kuntze,I,Mammal_bird,,Tree,
Canarium_strictum,Burseraceae,Roxb.,O,Bird,,Tree,
Caryota_urens,Arecaceae,L.,E,Mammal_bird,,Tree,Common in open evergreen and semi-evergreen forests
Casearia_graveolens,Salicaceae,Dalzell,O,Bird,,Tree,
Casearia_graveolens,Salicaceae,Dalzell,O,Bird,,Tree,
Casearia_wynadensis,Salicaceae,Bedd.,O,Bird,,Tree,
Elaeodendron_paniculatum,Celastraceae,Wight & Arn.,O,Bird/Mammal,Z,Tree,
Elaeodendron_paniculatum,Celastraceae,Wight & Arn.,O,Bird/Mammal,Z,Tree,
Celtis_philippensis,Cannabaceae,Blanco,Unknown,Bird/Mammal,Z,Tree,
Casearia_graveolens,Salicaceae,Dalzell,O,Bird,,Tree,
Casearia_wynadensis,Salicaceae,Bedd.,O,Bird,,Tree,
Chassalia_curviflora,Rubiaceae,(Wall.) Thwaites,Unknown,Unknown,,Shrub,
Chionanthus_malaelengi,Oleaceae,(Dennst.) P.S.Green,E,Bird/Mammal,Z,Tree,Understorey trees in disturbed evergreen to semi-evergreen forests
Chionanthus_malaelengi,Oleaceae,(Dennst.) P.S.Green,E,Bird/Mammal,Z,Tree,Understorey trees in disturbed evergreen to semi-evergreen forests
Chionanthus_malaelengi,Oleaceae,(Dennst.) P.S.Green,E,Bird/Mammal,Z,Tree,Understorey trees in disturbed evergreen to semi-evergreen forests
Chionanthus_malaelengi,Oleaceae,(Dennst.) P.S.Green,E,Bird/Mammal,Z,Tree,Understorey trees in disturbed evergreen to semi-evergreen forests
Donella_lanceolata,Sapotaceae,(Blume) Aubrév.,O,Mammal,,Tree,Canopy trees in wet evergreen forests
Cinnamomum_keralaense,Lauraceae,Kosterm.,O,Bird,,Tree,"Canopy to subcanopy trees in medium elevation wet evergreen forests,"
Cinnamomum_malabatrum,Lauraceae,(Burm.fil.) J.Presl,O,Bird,,Tree,
Clausena_anisata,Rutaceae,(Willd.) Hook.f. ex Benth.,O,Bird,,Tree,Undergrowth in evergreen to semi-evergreen forests
Clerodendrum_infortunatum,Lamiaceae,L.,E,Bird,,Tree,
Climber_species,NA,NA,NA,NA,,Climber,
Climber_species,NA,NA,NA,NA,,Climber,
