Sr.no.,SAMPLE_ID,Reserve,TYPED,ALL_SNPs,SNP.Typed,Individual.Identified,Kill.ID,Season,Kill.Days,Age,Smell,Maggots,Flies,Rain,Consumption,Decomposition,Canopy,Sample.Type,Sample.Category,COLLECTOR
11,C02-BTR21-046-SL01,Bandhavgarh,14,95,14,0,C02-BTR21-46,Summer,0,9,Low,None,Low,No,25,,0,SALIVA,Post predation,AJAY
12,C02-BTR21-046-SL02,Bandhavgarh,5,95,5,0,C02-BTR21-46,Summer,0,9,Low,None,Low,No,25,,0,SALIVA,Post predation,AJAY
13,C02-BTR21-046-SL03,Bandhavgarh,39,95,37,0,C02-BTR21-46,Summer,0,9,Low,None,Low,No,25,,0,SALIVA,Predation,AJAY
16,C02-BTR21-050-SL01,Bandhavgarh,24,95,24,0,C02-BTR21-50,Summer,2,5.5,Low,None,Low,No,75,,70,SALIVA,Predation,AJAY
17,C02-BTR21-050-SL02,Bandhavgarh,6,95,6,0,C02-BTR21-50,Summer,2,5.5,Low,None,Low,No,75,,70,SALIVA,Post predation,AJAY
20,C02-BTR21-054-SL01,Bandhavgarh,28,95,28,0,C02-BTR21-54,Summer,1,8.5,Low,None,Low,No,75,,25,SALIVA,Predation,AJAY
21,C02-BTR21-054-SL02,Bandhavgarh,56,95,53,1,C02-BTR21-54,Summer,1,8.5,Low,None,Low,No,75,,25,SALIVA,Post predation,AJAY
22,C02-BTR21-054-SL03,Bandhavgarh,62,95,58,1,C02-BTR21-54,Summer,1,8.5,Low,None,Low,No,75,,25,SALIVA,Post predation,AJAY
27,C02-BTR21-057-SL01,Bandhavgarh,2,95,2,0,C02-BTR21-57,Summer,1,3.5,Low,None,Low,No,85,,30,SALIVA,Predation,AJAY
28,C02-BTR21-057-SL02,Bandhavgarh,6,95,6,0,C02-BTR21-57,Summer,1,3.5,Low,None,Low,No,85,,30,SALIVA,Predation,AJAY
31,C02-BTR21-059-SL01,Bandhavgarh,33,95,32,0,C02-BTR21-59,Summer,0,7.5,Low,None,Low,No,25,,0,SALIVA,Predation,AJAY
32,C02-BTR21-059-SL02,Bandhavgarh,6,95,6,0,C02-BTR21-59,Summer,0,7.5,Low,None,Low,No,25,,0,SALIVA,Post predation,AJAY
39,C02-BTR21-062-SL01,Bandhavgarh,6,95,6,0,C02-BTR21-62,Summer,0,8.5,Low,None,Low,No,25,,75,SALIVA,Predation,AJAY
40,C02-BTR21-062-SL02,Bandhavgarh,6,95,6,0,C02-BTR21-62,Summer,0,8.5,Low,None,Low,No,25,,75,SALIVA,Post predation,AJAY
46,C02-BTR21-065-SL01,Bandhavgarh,4,95,4,0,C02-BTR21-65,Summer,1,8.5,Low,None,Low,No,35,,5,SALIVA,Predation,AJAY
47,C02-BTR21-065-SL02,Bandhavgarh,36,95,34,0,C02-BTR21-65,Summer,1,8.5,Low,None,Low,No,35,,5,SALIVA,Post predation,AJAY
57,C02-BTR21-078-SL01,Bandhavgarh,6,95,6,0,C02-BTR21-78,Summer,2,7.5,Low,None,High,No,75,,0,SALIVA,Predation,AJAY
58,C02-BTR21-078-SL02,Bandhavgarh,52,95,49,1,C02-BTR21-78,Summer,2,7.5,Low,None,High,No,75,,0,SALIVA,Post predation,AJAY
61,C02-BTR21-094-SL01,Bandhavgarh,4,95,4,0,C02-BTR21-94,Summer,0,3.5,Low,None,Low,No,75,,0,SALIVA,Predation,AJAY
62,C02-BTR21-094-SL02,Bandhavgarh,41,95,40,0,C02-BTR21-94,Summer,0,3.5,Low,None,Low,No,75,,0,SALIVA,Post predation,AJAY
65,C02-BTR21-098-SL01,Bandhavgarh,8,95,8,0,C02-BTR21-98,Summer,0,7.5,Low,None,Low,Yes,0,,65,SALIVA,Predation,AJAY
67,C02-BTR21-100-SL01,Bandhavgarh,10,95,10,0,C02-BTR21-100,Summer,1,7.5,Low,Low,High,Yes,15,,5,SALIVA,Predation,AJAY
68,C02-BTR21-100-SL02,Bandhavgarh,7,95,7,0,C02-BTR21-100,Summer,1,7.5,Low,Low,High,Yes,15,,5,SALIVA,Post predation,AJAY
71,C02-BTR21-102-SL01,Bandhavgarh,10,95,10,0,C02-BTR21-102,Summer,1,7.5,Low,None,High,Yes,0,,0,SALIVA,Predation,AJAY
75,C02-BTR21-105-SL01,Bandhavgarh,7,95,7,0,C02-BTR21-105,Summer,1,8.5,Low,Low,Medium,No,35,,0,SALIVA,Predation,AJAY
76,C02-BTR21-105-SL02,Bandhavgarh,10,95,10,0,C02-BTR21-105,Summer,1,8.5,Low,Low,Medium,No,35,,0,SALIVA,Post predation,AJAY
80,C02-BTR21-112-SL01,Bandhavgarh,0,95,0,0,C02-BTR21-112,Summer,3,6.5,High,High,Medium,Yes,45,,0,SALIVA,Post predation,AJAY
87,C02-BTR21-118-SL01,Bandhavgarh,73,95,69,1,C02-BTR21-118,Summer,0,10.5,Low,None,High,No,25,,25,SALIVA,Predation,AJAY
88,C02-BTR21-118-SL01,Bandhavgarh,73,95,69,1,C02-BTR21-118,Summer,0,10.5,Low,None,High,No,25,,25,SALIVA,Predation,AJAY
89,C02-BTR21-118-SL02,Bandhavgarh,6,95,6,0,C02-BTR21-118,Summer,0,10.5,Low,None,High,No,25,,25,SALIVA,Post predation,AJAY
91,C02-BTR21-127-SL01,Bandhavgarh,97,95,90,1,C02-BTR21-127,Summer,0,6.5,None,None,None,Yes,0,,75,SALIVA,Predation,AJAY
92,C02-BTR21-127-SL02,Bandhavgarh,98,95,92,1,C02-BTR21-127,Summer,0,6.5,None,None,None,Yes,0,,75,SALIVA,Predation,AJAY
94,C02-BTR21-142-SL01,Bandhavgarh,6,95,6,0,C02-BTR21-142,Summer,1,8.5,Low,Low,High,Yes,15,,55,SALIVA,Predation,AJAY
95,C02-BTR21-142-SL02,Bandhavgarh,6,95,6,0,C02-BTR21-142,Summer,1,8.5,Low,Low,High,Yes,15,,55,SALIVA,Post predation,AJAY
98,C02-BTR21-143-SL01,Bandhavgarh,19,95,19,0,C02-BTR21-143,Summer,1,7.5,Low,None,Medium,No,15,,0,SALIVA,Predation,AJAY
99,C02-BTR21-143-SL02,Bandhavgarh,5,95,5,0,C02-BTR21-143,Summer,1,7.5,Low,None,Medium,No,15,,0,SALIVA,Post predation,AJAY
100,C02-BTR21-143-SL03,Bandhavgarh,50,95,47,1,C02-BTR21-143,Summer,1,7.5,Low,None,Medium,No,15,,0,SALIVA,Post predation,AJAY
102,C02-BTR21-146-SL01,Bandhavgarh,0,95,0,0,C02-BTR21-146,Summer,1,6.5,Low,None,High,Yes,5,Fresh,0,SALIVA,Predation,AJAY
103,C02-BTR21-146-SL02,Bandhavgarh,7,95,7,0,C02-BTR21-146,Summer,1,6.5,Low,None,High,Yes,5,Fresh,0,SALIVA,Predation,AJAY
104,C02-BTR21-146-SL03,Bandhavgarh,19,95,19,0,C02-BTR21-146,Summer,1,6.5,Low,None,High,Yes,5,Fresh,0,SALIVA,Post predation,AJAY
108,C02-BTR21-154-SL01,Bandhavgarh,8,95,8,0,C02-BTR21-154,Monsoon,1,8.5,Low,None,Medium,No,25,Fresh,35,SALIVA,Post predation,AJAY
109,C02-BTR21-154-SL02,Bandhavgarh,49,95,46,1,C02-BTR21-154,Monsoon,1,8.5,Low,None,Medium,No,25,Fresh,35,SALIVA,Post predation,AJAY
