No,tree_sp,ficus_nonficus,species,species_group,mammal_bird,arr_time,dep_time,visitation_time,pecked,swallowed,dropped,seed_handled,number_of seed_dispersed,proportions_seed_dispersed
1,Actinodaphne_obovata,non_ficus,rm,macaque,Mammal,10:52,10:53,0:01:00,0,13,0,13,13,1
2,Actinodaphne_obovata,non_ficus,rm,macaque,Mammal,11:12,11:13,0:01:00,0,7,0,7,7,1
3,Actinodaphne_obovata,non_ficus,rm,macaque,Mammal,12:38,12:39,0:01:00,0,11,0,11,11,1
24,Chisocheton_cumingianus,non_ficus,wrho,hornbill,Bird,12:04,12:06,0:02:00,4,0,0,4,0,0
25,Chisocheton_cumingianus,non_ficus,wrho,hornbill,Bird,10:23,10:26,0:03:00,3,0,0,3,0,0
26,Chisocheton_cumingianus,non_ficus,wrho,hornbill,Bird,10:27,10:28,0:01:00,1,0,0,1,0,0
27,Chisocheton_cumingianus,non_ficus,wrho,hornbill,Bird,10:28,10:31,0:03:00,5,0,0,5,0,0
28,Chisocheton_cumingianus,non_ficus,wrho,hornbill,Bird,10:32,10:33,0:01:00,1,0,0,1,0,0
33,Chisocheton_cumingianus,non_ficus,wrho,hornbill,Bird,7:33,7:39,0:06:00,3,0,0,3,0,0
35,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,12:24,12:30,0:06:00,0,1,1,2,1,0.5
38,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,7:14,7:16,0:02:00,0,1,1,2,1,0.5
39,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,7:17,7:20,0:03:00,1,0,0,1,0,0
40,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,7:34,7:36,0:02:00,1,0,0,1,0,0
41,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,7:49,7:51,0:02:00,0,1,1,2,1,0.5
42,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,11:31,11:33,0:02:00,0,1,1,2,1,0.5
43,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,13:51,13:52,0:01:00,0,1,1,2,1,0.5
44,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,9:42,9:43,0:01:00,0,3,3,6,3,0.5
47,Chisocheton_cumingianus,non_ficus,mipi,imperial_pigeon,Bird,14:42,14:43,0:01:00,1,0,0,1,0,0
56,Dysoxylum_cauliflorum,non_ficus,rbs,squirrel,Mammal,6:43,6:45,0:02:00,0,4,0,4,4,1
57,Dysoxylum_cauliflorum,non_ficus,rbs,squirrel,Mammal,6:51,6:52,0:01:00,0,6,0,6,6,1
58,Dysoxylum_cauliflorum,non_ficus,rbs,squirrel,Mammal,8:25,8:26,0:01:00,0,3,0,3,3,1
59,Dysoxylum_cauliflorum,non_ficus,maor,oriole,Bird,10:21,10:24,0:03:00,0,6,0,6,6,1
60,Dysoxylum_cauliflorum,non_ficus,suti,tit,Bird,10:09,10:10,0:01:00,9,0,1,10,0,0
61,Dysoxylum_cauliflorum,non_ficus,chmy,Myna,Bird,11:18,11:20,0:02:00,3,0,0,3,0,0
128,Elaeocarpus_angustifolius,non_ficus,bcbu,bulbul,Bird,6:28,6:30,0:02:00,3,0,0,3,0,0
129,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,8:09,8:11,0:02:00,2,0,0,2,0,0
130,Elaeocarpus_angustifolius,non_ficus,rm,macaque,Mammal,8:11,8:13,0:02:00,0,1,1,2,1,0.5
131,Elaeocarpus_angustifolius,non_ficus,rm,macaque,Mammal,8:18,8:24,0:06:00,3,1,5,9,1,0.111111111
132,Elaeocarpus_angustifolius,non_ficus,afbl,fairy_bluebird,Bird,8:54,8:56,0:02:00,2,0,0,2,0,0
133,Elaeocarpus_angustifolius,non_ficus,afbl,fairy_bluebird,Bird,8:57,8:58,0:01:00,2,0,1,3,0,0
134,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,9:00,9:04,0:04:00,1,0,0,1,0,0
135,Elaeocarpus_angustifolius,non_ficus,wtbu,bulbul,Bird,11:20,11:23,0:03:00,1,0,0,1,0,0
136,Elaeocarpus_angustifolius,non_ficus,btba,barbet,Bird,11:45,11:47,0:02:00,1,0,0,1,0,0
137,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,11:46,11:47,0:01:00,1,0,0,1,0,0
138,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,12:05,12:07,0:02:00,2,0,0,2,0,0
141,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,13:13,13:16,0:03:00,1,0,0,1,0,0
142,Elaeocarpus_angustifolius,non_ficus,btba,barbet,Bird,13:24,13:28,0:04:00,2,0,0,2,0,0
143,Elaeocarpus_angustifolius,non_ficus,wtbu,bulbul,Bird,13:43,13:45,0:02:00,2,0,1,3,0,0
144,Elaeocarpus_angustifolius,non_ficus,wtbu,bulbul,Bird,13:44,13:45,0:01:00,1,0,0,1,0,0
145,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,14:05,14:17,0:12:00,6,0,1,7,0,0
146,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,14:37,14:41,0:04:00,2,0,0,2,0,0
147,Elaeocarpus_angustifolius,non_ficus,liba,barbet,Bird,14:54,14:55,0:01:00,0,2,3,5,2,0.4
148,Elaeocarpus_angustifolius,non_ficus,afbl,fairy_bluebird,Bird,15:01,15:08,0:07:00,2,0,0,2,0,0
149,Elaeocarpus_angustifolius,non_ficus,wtbu,bulbul,Bird,15:21,15:22,0:01:00,0,0,2,2,0,0
150,Elaeocarpus_angustifolius,non_ficus,wtbu,bulbul,Bird,15:22,15:25,0:03:00,1,0,1,2,0,0
151,Elaeocarpus_angustifolius,non_ficus,wtbu,bulbul,Bird,15:24,15:28,0:04:00,1,0,0,1,0,0
152,Elaeocarpus_angustifolius,non_ficus,afbl,fairy_bluebird,Bird,15:28,15:30,0:02:00,1,0,0,1,0,0
153,Elaeocarpus_angustifolius,non_ficus,btba,barbet,Bird,15:32,15:34,0:02:00,2,0,1,3,0,0
154,Elaeocarpus_angustifolius,non_ficus,btba,barbet,Bird,15:35,15:36,0:01:00,1,0,0,1,0,0
155,Elaeocarpus_angustifolius,non_ficus,btba,barbet,Bird,15:52,15:54,0:02:00,1,0,1,2,0,0
156,Ficus_benjamina,ficus,ptpi,green_pigeon,Bird,6:24,6:26,0:02:00,0,4,0,4,4,1
