date,tree_code,tree_sp,species,ficus_nonficus,no,arr_time,dep_time,visitation_time,species_group,nature,mammal_bird,st_time,end_time,duration
19-09-2017,ACOB1,Actinodaphne_obovata,rbs,non_ficus,1,05:48,05:53,00:05,Squirrel,ns,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:21,10:26,00:05,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:21,10:27,00:06,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:21,10:30,00:09,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:30,10:32,00:02,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:41,10:42,00:01,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:43,10:43,00:00,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:52,10:55,00:03,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:56,10:58,00:02,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:56,10:58,00:02,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,10:56,11:05,00:09,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:02,11:08,00:06,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:02,11:10,00:08,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:06,11:16,00:10,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:10,11:16,00:06,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:10,11:20,00:10,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:10,11:20,00:10,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:17,11:24,00:07,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:22,11:23,00:01,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:22,11:23,00:01,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:24,11:37,00:13,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:26,11:42,00:16,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,11:34,11:49,00:15,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,12:37,12:39,00:02,Macaque,F,Mammal,04:53,15:40,10:47:00
19-09-2017,ACOB1,Actinodaphne_obovata,rm,non_ficus,1,12:37,12:39,00:02,Macaque,F,Mammal,04:53,15:40,10:47:00
20-09-2017,ACOB2,Actinodaphne_obovata,hbs,non_ficus,1,12:00,12:06,00:06,Squirrel,ns,Mammal,06:00,17:00,11:00:00
20-09-2017,ACOB2,Actinodaphne_obovata,rbs,non_ficus,1,14:51,15:41,00:50,Squirrel,ns,Mammal,06:00,17:00,11:00:00
