unique.ind,date,village,id,latitude,longitude,visit.month,days.per.visit,visit.reason,distance,other.visit.grids
1,26-01-2023,peki modi,NA,28.59999,95.346575,1;12,20,trapping,7.91,1965;2022;1966
1,26-01-2023,peki modi,1965,28.586219,95.270055,12,3,ritual hunting,1.3,1966
2,26-01-2023,peki modi,1966,28.572114,95.290169,2,6,ritual hunting,3.28,NA
2,26-01-2023,peki modi,NA,28.608758,95.326989,10;11,3,aconite collection,8.12,1965;2022;1966
3,26-01-2023,peki modi,1906,28.641249,95.236163,1;2;12,3,trapping,7.69,1907;1908;1966
4,7/2/2023,katan,1746,28.341018,95.157406,2,6,road construction,2.87,1747
5,1/3/2023,katan,1804,28.330782,95.168991,2,3,road construction,2.37,1747
6,27-02-2023,katan,1748,28.296159,95.161841,3,6,mithun searching,2,1747
6,27-02-2023,katan,1691,28.293017,95.121031,2,3,mithun searching,3,1747;1748
6,27-02-2023,katan,1804,28.330782,95.168991,2,3,road construction,2.37,1747
7,1/3/2023,katan,1748,28.288749,95.148803,1,4,ritual hunting,2.51,1747
8,1/3/2023,katan,1747,28.329669,95.164021,1;2;12,8,trapping,1.57,NA
9,1/3/2023,katan,1749,28.270901,95.15613,2,6,ritual hunting,4.79,1747;1748
10,1/3/2023,katan,1804,28.310515,95.168886,1;2;3;4;5;6;7;8;9;10;11;12,30,resident,2,1747
10,1/3/2023,katan,1804,28.32925,95.182789,2,2,mithun searching,2.71,1747
11,1/3/2023,katan,1747,28.331573,95.15882,1;2;11;12,8,trapping,1.52,NA
11,1/3/2023,katan,1804,28.329513,95.169425,1;2;11;12,8,trapping,1.86,1747
12,2/3/2023,katan,1747,28.322937,95.154273,NA,NA,rice farming,1.33,NA
13,2/3/2023,katan,1748,28.294187,95.13833,10,15,jhum farming,2.98,1747
13,2/3/2023,katan,1804,28.313831,95.174776,4;5,7,jhum farming,2.41,1747
14,27-02-2023,katan sibum,1747,28.312564,95.158139,1;2,5,squirrel hunting,0.2,NA
15,27-02-2023,katan sibum,1748,28.298187,95.15195,NA,NA,rice farming,1.64,1747
16,27-02-2023,katan sibum,1748,28.288648,95.138404,1;11;12,4,hunting,4.52,1747
17,28-02-2023,katan sibum,1690,28.330854,95.127542,1;2;12,8,"trapping,hunting",4.83,1747
17,28-02-2023,katan sibum,1747,28.312564,95.158139,1;2;12,6,trapping,4.19,NA
18,28-02-2023,katan sibum,1748,28.298272,95.145002,1;2;12,8,mithun searching,2,1747
19,28-02-2023,katan sibum,1747,28.3163,95.145417,1,2,mushroom collection,1,NA
19,28-02-2023,katan sibum,1748,28.298993,95.143998,11;12,6,timber collection,1.77,1747
20,28-02-2023,sumsing,1690,28.325276,95.128669,9,3,mithun searching,5.74,1688;1689
20,28-02-2023,sumsing,1631,28.365207,95.101174,1;2;3;4;5;6;7;8;9;10;11;12,3,mithun searching,1.28,1688
20,28-02-2023,sumsing,1688,28.37432,95.122341,1;2;3;4;5;6;7;8;9;10;11;12,3,mithun searching,1.31,NA
21,28-02-2023,sumsing,1688,28.36272,95.126154,2,6,ritual hunting,0.87,NA
22,28-02-2023,sumsing,1746,28.347745,95.146254,1;2;3;12,8,"trapping,hunting",3.89,1688;1689
22,28-02-2023,sumsing,1745,28.367954,95.158922,1;2;3;12,8,"trapping,hunting",4.32,1688
23,28-02-2023,sumsing,1631,28.367485,95.080071,1;2;3;12,8,"trapping,hunting",3.66,1688
23,28-02-2023,sumsing,1689,28.359127,95.13002,1;2;3;12,8,"trapping,hunting",1.84,1688
24,28-02-2023,sumsing,1631,28.363436,95.099685,8;9;10,30,cardamom farming,1.83,1688
24,28-02-2023,sumsing,1690,28.333121,95.128557,2,6,ritual hunting,4.19,1688;1689
24,28-02-2023,sumsing,1689,28.340062,95.108929,2,6,ritual hunting,4.89,1688
24,28-02-2023,sumsing,1745,28.376841,95.156076,2;3,8,trapping,3.97,1688
25,28-02-2023,sumsing,1689,28.360334,95.129266,2;3,8,trapping,1.66,1688
26,1/3/2023,sumsing,1631,28.370652,95.095042,3;4,6,"trapping,ritual hunting,mithun searching",1.81,1688
27,1/3/2023,sumsing,1690,28.325276,95.128669,11;12,6,trapping,2.59,1688;1689
28,1/3/2023,sumsing,1746,28.354035,95.142913,3;4,8,"trapping,ritual hunting",2.91,1689;1688
28,1/3/2023,sumsing,1687,28.391475,95.111813,7,20,rice farming,2.44,1688
