unique.ind,village,id,latitude,longitude,presence.absence,signs,freq.sighting,year.obs,sighting.month
4,katan,1746,28.341018,95.157406,1,nb,year,2023,2
5,katan,1804,28.332162,95.177703,1,nb,year,2023,2
6,katan,1748,28.296159,95.161841,1,nb,month,2023,1;2
6,katan,1748,28.300836,95.15971,1,nb,month,2023,1;2
6,katan,1691,28.301506,95.133657,1,nb,month,2023,1;2
6,katan,1804,28.309045,95.173581,1,nb,month,2023,1;2
6,katan,1804,28.330782,95.168991,1,nb,year,2023,2
7,katan,1748,28.288749,95.148803,1,nb,year,2023,2
8,katan,1747,28.329669,95.164021,1,nb,year,2023,2
9,katan,1749,28.271817,95.156393,1,nb,year,2023,2
10,katan,1804,28.312088,95.171961,1,nb,year,2023,2
10,katan,1804,28.331702,95.179776,1,"nb,ob",year,2023,NA
11,katan,1747,28.326394,95.157808,1,ds,NA,2023,NA
11,katan,1804,28.328103,95.172274,1,"nb,ob",year,2022,NA
11,katan,1804,28.328103,95.172274,1,"nb,ob",year,2023,NA
12,katan,1747,28.316012,95.138037,1,"nb,ob",NA,2020,NA
12,katan,1747,28.327269,95.143007,1,nb,NA,2023,NA
13,katan,1748,28.298675,95.135931,1,nb,NA,2023,10
13,katan,1804,28.313651,95.173679,1,ob,year,2021,NA
13,katan,1804,28.313651,95.173679,1,ob,year,2022,NA
13,katan,1804,28.313651,95.173679,1,ob,year,2023,NA
14,katan sibum,1804,28.307591,95.168545,1,nb,NA,2023,2
15,katan sibum,1748,28.300743,95.159167,1,nb,year,2023,NA
15,katan sibum,1748,28.30102,95.154964,1,nb,year,2023,NA
16,katan sibum,1748,28.301032,95.161469,1,nb,NA,2022,11
16,katan sibum,1748,28.300626,95.160445,1,ds,NA,2022,11
16,katan sibum,1748,28.299644,95.147759,1,ds,NA,2022,11
17,katan sibum,1690,28.31086,95.119352,1,nb,week,2023,2
17,katan sibum,1690,28.310777,95.11137,1,nb,week,2023,2
17,katan sibum,1747,28.3163,95.145417,1,ob,NA,2023,1
18,katan sibum,1748,28.302784,95.144163,1,ds,month,2023,NA
19,katan sibum,1748,28.298993,95.143998,1,"nb,ob",NA,2022,11;12
19,katan sibum,1747,28.310984,95.142042,1,"nb,ob",NA,2023,2
20,sumsing,1690,28.31808,95.124549,1,nb,NA,2022,9
20,sumsing,1688,28.365479,95.106121,1,ob,year,2022,NA
20,sumsing,1688,28.362598,95.127666,1,ob,year,2023,NA
21,sumsing,1688,28.36315,95.123475,1,nb,NA,2023,2
22,sumsing,1745,28.367954,95.158922,0,"nb,ob",year,2014,NA
22,sumsing,1746,28.347745,95.146254,0,"nb,ob",year,2015,NA
23,sumsing,1631,28.363436,95.099685,1,ob,NA,2022,NA
23,sumsing,1631,28.368074,95.097499,1,ob,NA,2022,NA
24,sumsing,1689,28.361784,95.128512,1,fs,week,2023,2
25,sumsing,1689,28.361744,95.12819,0,ob,year,2019,NA
26,sumsing,1631,28.37063,95.094819,0,ob,year,2019,NA
27,sumsing,1690,28.333156,95.132559,0,ob,year,1027,NA
28,sumsing,1687,28.39152,95.110826,1,"nb,fs",year,2022,7
31,pongging,1867,28.156626,95.206801,1,nb,NA,2020,NA
36,jeru,1807,28.238456,95.191702,1,ds,NA,2023,2
36,jeru,1806,28.269408,95.181617,1,"nb,ds",NA,2023,2
36,jeru,1807,28.243566,95.177438,1,"nb,ob",NA,2023,2
37,jeru,1807,28.226417,95.168138,1,ob,NA,2021,NA
39,jeru,1863,28.255204,95.196714,1,"nb,fs",year,2022,9
40,gette,1392,28.682934,94.983188,1,"nb,ob",year,2022,NA
40,gette,1392,28.682934,94.983188,1,"nb,ob",year,2023,NA
40,gette,1448,28.691695,95.014671,1,"nb,ob",year,2021,NA
40,gette,1448,28.691695,95.014671,1,"nb,ob",year,2022,NA
40,gette,1449,28.679294,95.005539,1,"nb,ob",year,2021,NA
40,gette,1449,28.679294,95.005539,1,"nb,ob",year,2022,NA
42,gette,1449,28.6843611,95.003505,1,"nb,ob",NA,2023,1
42,gette,1392,28.6849782,94.9829606,1,"nb,ob",NA,2023,3
41,gette,1504,28.719033,95.026216,1,ob,NA,2021,NA
44,gette,1448,28.6993936,94.9977171,1,nb,NA,2023,1
44,gette,1448,28.6956251,95.014198,0,ob,NA,2013,NA
42,gette,1449,28.684935,94.997168,1,nb,NA,2023,NA
45,gette,1449,28.686419,95.00524,1,nb,NA,2023,3
45,gette,1392,28.681776,94.983183,1,ob,year,2021,NA
45,gette,1506,28.683046,95.023737,1,nb,year,2023,1
46,moying,1451,28.617996,94.989967,1,nb,NA,2023,1
47,moying,1449,28.670952,95.007997,1,nb,NA,2023,1
48,moying,1506,28.679976,95.021709,0,"nb,ob",year,2018,NA
48,moying,1506,28.679976,95.021709,0,"nb,ob",year,2017,NA
48,moying,1509,28.594143,95.03087,1,nb,NA,2021,NA
49,gossang,1393,28.660054,94.987357,1,"nb,ob",year,2022,NA
49,gossang,1393,28.660054,94.987357,1,"nb,ob",year,2023,NA
49,gossang,1450,28.635419,94.995615,1,"nb,ob",year,2022,NA
49,gossang,1450,28.635419,94.995615,1,"nb,ob",year,2023,NA
49,gossang,1452,28.599727,95.015458,1,"nb,ob",year,2022,NA
49,gossang,1452,28.599727,95.015458,1,"nb,ob",year,2023,NA
50,moying,1450,28.65373,95.004686,1,ob,month,2023,3
51,moying,1449,28.669671,95.002148,1,ob,month,2022,12
51,moying,1450,28.649004,94.994603,1,ob,NA,2023,2
51,moying,1508,28.607716,95.021163,1,"nb,ob",year,2022,3
51,moying,1508,28.607716,95.021163,1,"nb,ob",year,2023,3
52,moying,1449,28.67243,94.992306,1,"nb,ob",year,2023,3
52,moying,1451,28.629034,94.996824,1,nb,year,2023,1
52,moying,1452,28.596727,95.012368,1,"nb,ob",year,2022,8
53,moying,1450,28.639227,95.002682,1,nb,NA,2023,3
54,gossang,1452,28.59614,95.01548,1,"nb,ob",NA,2023,NA
54,gossang,1509,28.605942,95.029301,1,nb,NA,2023,3
54,gossang,1450,28.637007,94.992063,1,ds,NA,2020,3
54,gossang,1450,28.634802,94.995278,1,ds,NA,2020,3
54,gossang,1452,28.600101,95.016231,1,"nb,ob",NA,2022,9
55,gossang,1451,28.614428,95.008654,1,ob,NA,2023,2
56,gossang,1451,28.625648,95.001716,1,"nb,ob",week,2023,3
57,gossang,1509,28.594614,95.018766,1,ob,week,2023,NA
57,gossang,1451,28.614428,95.008654,1,"nb,ob",week,2023,1
58,gossang,1509,28.60641,95.020166,1,nb,NA,2023,3
58,gossang,1451,28.611123,95.002831,1,"nb,ob",year,2023,1;2
58,gossang,1451,28.624973,94.997406,1,"nb,ob",year,2022,12
58,gossang,1509,28.596991,95.017953,1,nb,year,2022,12
58,gossang,1451,28.631988,95.006882,1,fs,NA,2021,NA
59,gossang,1509,28.603266,95.026508,1,ob,NA,2020,NA
59,gossang,1451,28.614749,95.004919,1,ob,NA,2021,NA
59,gossang,1509,28.606882,95.02164,1,ob,year,2023,4
60,bogong,1914,28.428254,95.25052,1,nb,year,2021,5
61,lego,1855,28.47497,95.202664,1,nb,NA,2020,11
62,borang,1970,28.444484,95.262059,1,nb,NA,2021,NA
62,borang,1912,28.476954,95.232656,0,ds,NA,2018,NA
63,borang,1972,28.412906,95.270882,0,ob,year,2019,NA
63,borang,1972,28.412906,95.270882,0,ds,NA,2017,NA
64,borang,1857,28.438565,95.21781,1,nb,year,2022,5
64,borang,1913,28.449301,95.249983,1,ob,year,2021,NA
65,megu,1971,28.432046,95.27769,1,nb,year,2021,1
66,tayeng,1972,28.409621,95.276521,0,nb,year,2018,1;2
66,tayeng,1971,28.419227,95.274305,0,nb,NA,2018,1;2
67,boga,1857,28.438098,95.226425,1,ob,week,2020,NA
68,boga,1856,28.458784,95.228453,0,ds,NA,2018,NA
69,boga,1856,28.455679,95.220263,1,nb,month,2021,12
70,tayeng,1913,28.449695,95.229364,1,nb,year,2020,NA
71,tayeng,1857,28.430991,95.225213,1,nb,year,2021,10
72,bogong,1971,28.42607,95.285538,1,nb,year,2022,1
73,pertin,1915,28.412634,95.250225,1,nb,year,2021,11;12
73,pertin,1972,28.408815,95.273644,1,nb,year,2021,2
74,yirang,1856,28.466342,95.207035,1,nb,year,2021,NA
74,yirang,1913,28.449261,95.242051,1,ds,NA,2020,NA
74,yirang,1856,28.456142,95.227101,0,ds,NA,2017,NA
75,ratan,1971,28.429082,95.276493,1,nb,year,2021,9
75,ratan,1971,28.427504,95.277583,1,nb,NA,2021,NA
75,ratan,1970,28.441595,95.265744,0,ds,NA,2013,NA
76,ratan,2210,28.122179,95.401589,1,nb,year,2022,3
76,ratan,2210,28.130996,95.397877,1,nb,year,2021,3
77,ratan,1971,28.414229,95.264805,1,nb,year,2020,NA
77,ratan,1914,28.420138,95.242669,1,nb,year,2021,NA
78,borang,1857,28.440759,95.213124,1,nb,year,2022,1
78,borang,1913,28.45435,95.242593,0,ds,NA,2013,5
79,perme,1913,28.45328,95.246736,1,nb,year,2022,5
80,perme,1856,28.447787,95.228959,0,nb,NA,2019,NA
81,perme,1857,28.431248,95.212855,1,nb,NA,2021,1
81,perme,1913,28.446202,95.250562,0,ds,NA,2013,NA
82,perme,1971,28.432198,95.263625,1,nb,week,2021,2
83,perme,1913,28.448167,95.250399,1,"nb,ob",year,2021,1
83,perme,1970,28.441319,95.269947,1,nb,year,2022,5
84,ratan,1914,28.437069,95.244809,0,ds,NA,2013,1
84,ratan,1915,28.408304,95.253034,0,nb,NA,2019,NA
85,remging,1915,28.410769,95.25074,1,nb,year,2021,7
86,mariyang,1912,28.474311,95.230266,1,ob,NA,2020,3
87,mariyang,1912,28.486058,95.231321,1,ob,year,2022,NA
87,mariyang,1912,28.486058,95.231321,1,ob,year,2021,NA
88,mariyang,1856,28.464155,95.206448,1,nb,NA,2022,2
88,mariyang,1856,28.463431,95.206852,1,nb,NA,2022,2
88,mariyang,1971,28.423024,95.271749,1,ds,NA,2021,10;11
89,mariyang,1740,28.507136,95.158869,0,"nb,ob",year,2019,3
90,mariyang,1857,28.422394,95.219051,0,ds,year,2018,3
90,mariyang,1797,28.517444,95.170725,1,nb,year,2021,10
91,mariyang,1913,28.46791,95.2489,1,nb,year,2022,2
91,mariyang,1912,28.472939,95.242938,1,nb,year,2022,2
92,new millang,1740,28.50777,95.16677,0,nb,NA,2019,NA
93,new millang,1740,28.505701,95.154228,1,nb,year,2021,5
93,new millang,1740,28.51118,95.152778,1,ds,year,2021,5
94,mariyang,1912,28.471138,95.234946,0,ds,NA,2007,NA
94,mariyang,1912,28.482582,95.235267,0,ds,NA,2007,NA
95,mariyang,1740,28.510288,95.162976,1,nb,year,2022,4
95,mariyang,1740,28.508666,95.159023,1,nb,year,2022,4
96,mariyang,1972,28.411986,95.277815,1,nb,NA,2022,2
97,remgeng,2029,28.411866,95.298441,1,nb,year,2022,NA
97,remgeng,2028,28.422404,95.293096,1,nb,year,2021,NA
98,remgeng,1914,28.421883,95.252885,1,nb,year,2020,NA
99,karko,1567,28.575445,95.055069,1,"nb,ob",month,2023,2
99,karko,1509,28.583312,95.02738,1,"nb,ob",month,2022,NA
100,karko,1567,28.564188,95.071303,1,"nb,ob",NA,2023,2
100,karko,1568,28.531679,95.069096,1,"nb,ob",NA,2023,1
103,karko,1567,28.564683,95.071107,1,"nb,ob",year,2023,2
103,karko,1567,28.577034,95.060464,1,"nb,ob",month,2023,2
103,karko,1509,28.584586,95.046372,1,"nb,ob",year,2023,4
103,karko,1567,28.567201,95.050108,1,"nb,ob",year,2023,1
104,zido,1323,28.999413,94.948972,1,nb,NA,2023,11
104,zido,1266,28.994565,94.921689,1,"nb,ob",NA,2021,NA
104,zido,1266,28.988512,94.920337,1,"nb,ob",NA,2021,NA
104,zido,1267,28.981984,94.909438,0,ds,NA,2014,NA
105,zido,1266,28.991157,94.926616,1,nb,year,2022,11
106,zido,1266,28.999968,94.928094,1,nb,year,2022,11
107,zido,1265,29.020922,94.90713,1,ob,year,2022,NA
108,tuting,1267,28.975488,94.916199,1,nb,NA,2023,4
109,tuting,1267,28.974964,94.918608,1,"nb,ob",year,2022,NA
109,tuting,1267,28.980993,94.926507,1,"nb,ob",year,2022,NA
110,tuting,1267,28.975021,94.918287,1,"nb,ob",year,2023,4
110,tuting,1209,28.975021,94.918287,1,ds,year,2023,1
111,zido,1323,29.004886,94.957165,1,ds,NA,2022,12
112,zido,1266,28.990679,94.921137,1,"nb,ob",year,2023,3
112,zido,1266,29.004803,94.903937,1,ds,NA,2021,NA
112,zido,1265,29.026571,94.91244,1,nb,NA,2021,NA
112,zido,1266,29.012546,94.925677,1,nb,NA,2023,3
112,zido,1211,28.950537,94.885163,1,nb,NA,2022,NA
113,zido,1268,28.947941,94.910696,1,nb,year,2022,2
113,zido,1267,28.970337,94.923455,1,"nb,ob",year,2023,NA
113,zido,1267,28.970337,94.923455,1,"nb,ob",year,2023,NA
114,tuting,1153,28.98641,94.864254,1,nb,NA,2022,4
115,ngaming,1324,28.977544,94.951372,1,nb,month,2023,4
116,ngaming,1325,28.958317,94.940098,0,"nb,ob",month,2018,NA
117,ngaming,1324,28.968547,94.935176,1,nb,NA,2023,4
