GLOBAL.UNIQUE.IDENTIFIER,LAST.EDITED.DATE,TAXONOMIC.ORDER,CATEGORY,TAXON.CONCEPT.ID,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME,EXOTIC.CODE,OBSERVATION.COUNT,BREEDING.CODE,BREEDING.CATEGORY,BEHAVIOR.CODE,AGE.SEX,COUNTRY,COUNTRY.CODE,STATE,STATE.CODE,COUNTY,COUNTY.CODE,IBA.CODE,BCR.CODE,USFWS.CODE,ATLAS.BLOCK,LOCALITY,LOCALITY.ID,LOCALITY.TYPE,LATITUDE,LONGITUDE,OBSERVATION.DATE,TIME.OBSERVATIONS.STARTED,OBSERVER.ID,SAMPLING.EVENT.IDENTIFIER,PROTOCOL.TYPE,PROTOCOL.CODE,PROJECT.CODE,DURATION.MINUTES,EFFORT.DISTANCE.KM,EFFORT.AREA.HA,NUMBER.OBSERVERS,ALL.SPECIES.REPORTED,GROUP.IDENTIFIER,HAS.MEDIA,APPROVED,REVIEWED,REASON,TRIP.COMMENTS,SPECIES.COMMENTS,X
URN:CornellLabOfOrnithology:EBIRD:OBS514079071,6/27/2017 6:39,20550,species,avibase-69FC190B,Long-tailed Shrike,Lanius schach,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Alappuzha,IN-KL-AL,NA,NA,NA,NA,Kuttanad Wetland (Lower Kuttanad) - Ramankary Temple,L6020798,P,9.4328551,76.4674589,1/29/1999,7:15:00,obsr444916,S37809530,Incidental,P20,EBIRD,NA,NA,NA,1,0,NA,0,1,1,NA,NA,"Very rare in Kuttanad. Saw this because of Bulbul, they tried to harass the Shrike",NA
URN:CornellLabOfOrnithology:EBIRD:OBS514079072,6/27/2017 6:39,23970,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Alappuzha,IN-KL-AL,NA,NA,NA,NA,Kuttanad Wetland (Lower Kuttanad) - Ramankary Temple,L6020798,P,9.4328551,76.4674589,1/29/1999,7:15:00,obsr444916,S37809530,Incidental,P20,EBIRD,NA,NA,NA,1,0,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860663,8/27/2020 14:34,7049,species,avibase-0DF27D63,Asian Openbill,Anastomus oscitans,NA,NA,NA,6,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860658,8/27/2020 14:34,7370,species,avibase-6CCDAC53,Cattle Egret,Bubulcus ibis,NA,NA,NA,10,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860665,8/27/2020 14:34,418,species,avibase-90AAE188,Cotton Pygmy-Goose,Nettapus coromandelianus,NA,NA,NA,500,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS555132539,8/27/2020 14:34,7221,spuh,avibase-528F0652,cormorant sp.,Phalacrocoracidae sp.,NA,NA,NA,5,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860656,8/27/2020 14:34,7137,species,avibase-CA0C901A,Oriental Darter,Anhinga melanogaster,NA,NA,NA,3,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860667,8/27/2020 14:34,444,species,avibase-F577BA0F,Garganey,Spatula querquedula,NA,NA,NA,750,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860662,8/27/2020 14:34,7299,species,avibase-6429024D,Gray Heron,Ardea cinerea,NA,NA,NA,12,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860653,8/27/2020 14:34,7175,species,avibase-2D189E70,Indian Cormorant,Phalacrocorax fuscicollis,NA,NA,NA,5,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860657,8/27/2020 14:34,7376,species,avibase-E5E0B92F,Indian Pond-Heron,Ardeola grayii,NA,NA,NA,30,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860660,8/27/2020 14:34,7330,species,avibase-40B5D4A6,Intermediate Egret,Ardea intermedia,NA,NA,NA,6,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860664,8/27/2020 14:34,243,species,avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,NA,NA,NA,1500,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860654,8/27/2020 14:34,7148,species,avibase-60EA3FA9,Little Cormorant,Microcarbo niger,NA,NA,NA,5,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860659,8/27/2020 14:34,7340,species,avibase-F2858F9F,Little Egret,Egretta garzetta,NA,NA,NA,16,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860652,8/27/2020 14:34,1786,species,avibase-215FEA89,Little Grebe,Tachybaptus ruficollis,NA,NA,NA,5,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860669,8/27/2020 14:34,6033,species,avibase-9936FF4A,Little Stint,Calidris minuta,NA,NA,NA,25,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860671,8/27/2020 14:34,6563,species,avibase-17310BF0,Little Tern,Sternula albifrons,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860666,8/27/2020 14:34,548,species,avibase-56CCA717,Northern Pintail,Anas acuta,NA,NA,NA,500,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860668,8/27/2020 14:34,5911,species,avibase-6F672FA3,Pheasant-tailed Jacana,Hydrophasianus chirurgus,NA,NA,NA,25,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860661,8/27/2020 14:34,7316,species,avibase-3395DCF1,Purple Heron,Ardea purpurea,NA,NA,NA,3,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS553860670,8/27/2020 14:34,6604,species,avibase-7AB4E42B,Whiskered Tern,Chlidonias hybrida,NA,NA,NA,500,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Malappuram,IN-KL-MA,NA,NA,NA,NA,Kole Wetlands--Maranchery,L2517409,H,10.7334798,75.9865665,1/2/1999,7:00:00,obsr845684,S40852566,Traveling,P22,EBIRD,150,2.414,NA,5,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS651471691,28:05.1,29998,species,avibase-213AA070,Asian Fairy-bluebird,Irena puella,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Palakkad,IN-KL-PL,NA,NA,NA,NA,Parambikulam Wildlife Sanctuary.,L7862715,P,10.444967,76.8128067,1/20/1999,6:30:00,obsr324676,S48082170,Stationary,P21,EBIRD,720,NA,NA,6,1,NA,0,1,0,NA,We were ringing birds around tonakadau dam in Parambikulam Wildlife sanctuary. We ringed birds and did birding around.,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS651465285,40:24.4,19946,species,avibase-5FD53BB1,Ashy Drongo,Dicrurus leucophaeus,NA,NA,NA,1,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Palakkad,IN-KL-PL,NA,NA,NA,NA,Parambikulam Wildlife Sanctuary.,L7862715,P,10.444967,76.8128067,1/19/1999,6:30:00,obsr324676,S48081726,Stationary,P21,EBIRD,720,NA,NA,6,1,NA,0,1,0,NA,We were ringing bird around tanakadau dam in Parambikulam Wildlife Sanctuary. We were moving around for birding.,NA,NA
